FID,ID,SITE_NAME,DATE, pH continuous 0475 (pH units),Conductivity 25C continuous 0473 (uS/cm),Oxygen,Temperature,Battery (vol)
29033,S1,Swale at Catterick Bridge,06/07/1995 18:00,8.86,416,109.7,18,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 18:30,8.84,417,106.1,18,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 19:00,8.82,414,103,18,12.7
29033,S1,Swale at Catterick Bridge,06/07/1995 19:30,8.8,414,99.8,18,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 20:00,8.78,415,97.4,17.9,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 20:30,8.75,415,94,17.9,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 21:00,8.71,415,91.8,17.7,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 21:30,8.68,417,88.3,17.6,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 22:00,8.65,418,86.6,17.5,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 22:30,8.61,419,84.8,17.4,12.8
29033,S1,Swale at Catterick Bridge,06/07/1995 23:00,8.58,419,83.1,17.4,12.9
29033,S1,Swale at Catterick Bridge,06/07/1995 23:30,8.55,420,81.8,17.3,12.8
29033,S1,Swale at Catterick Bridge,07/07/1995 00:00,8.52,422,80.4,17.2,12.8
29033,S1,Swale at Catterick Bridge,07/07/1995 00:30,8.49,424,79.6,17.1,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 01:00,8.46,424,78.4,17,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 01:30,8.44,425,77.9,17,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 02:00,8.41,426,77.6,16.9,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 02:30,8.4,427,78,16.8,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 03:00,8.38,428,77.2,16.7,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 03:30,8.37,427,77.1,16.6,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 04:00,8.35,428,76.7,16.5,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 04:30,8.34,429,76,16.5,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 05:00,8.33,429,76.1,16.4,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 05:30,8.32,429,76.8,16.4,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 06:00,8.33,429,76.8,16.3,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 06:30,8.34,429,77.6,16.3,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 07:00,8.34,429,80,16.3,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 07:30,8.38,428,82.2,16.3,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 08:00,8.41,428,84.8,16.3,12.7
29033,S1,Swale at Catterick Bridge,07/07/1995 08:30,8.4,427,87.4,16.4,12.8
